# Immune-control gene pairings
ImmuneGene	ControlGenes
DPOGS212956 	DPOGS212931,DPOGS212979,DPOGS212944,DPOGS212948,DPOGS212970,DPOGS212939,DPOGS212957,DPOGS212980,DPOGS212926 
DPOGS212963 	DPOGS212977,DPOGS212947,DPOGS212958,DPOGS212931,DPOGS212929,DPOGS212979,DPOGS212955,DPOGS212944,DPOGS212946,DPOGS212970,DPOGS212957,DPOGS212927,DPOGS212937,DPOGS212980,DPOGS212926 
DPOGS212964 	DPOGS212952,DPOGS212954,DPOGS212953,DPOGS212976,DPOGS212977,DPOGS212967,DPOGS212947,DPOGS212974,DPOGS212973,DPOGS212975,DPOGS212972,DPOGS212929,DPOGS212955,DPOGS212930,DPOGS212928,DPOGS212968,DPOGS212945,DPOGS212927,DPOGS212937,DPOGS212938 
DPOGS212965 	DPOGS212952,DPOGS212954,DPOGS212953,DPOGS212976,DPOGS212977,DPOGS212967,DPOGS212947,DPOGS212958,DPOGS212973,DPOGS212975,DPOGS212972,DPOGS212929,DPOGS212955,DPOGS212930,DPOGS212946,DPOGS212968,DPOGS212945,DPOGS212927,DPOGS212937,DPOGS212938 
DPOGS213169 	DPOGS213194,DPOGS213171,DPOGS213209,DPOGS213179,DPOGS213192,DPOGS213172,DPOGS213220,DPOGS213208,DPOGS213212,DPOGS213165,DPOGS213190,DPOGS213188,DPOGS213174,DPOGS213178,DPOGS213206,DPOGS213222,DPOGS213186,DPOGS213184,DPOGS213204,DPOGS213175,DPOGS213213,DPOGS213199 
DPOGS213636 	DPOGS208612,DPOGS208618,DPOGS208624,DPOGS208591,DPOGS208608,DPOGS208589,DPOGS208614,DPOGS208610,DPOGS208615,DPOGS208592,DPOGS208627,DPOGS208597,DPOGS208611,DPOGS208623,DPOGS208594,DPOGS208613,DPOGS208593,DPOGS208602,DPOGS208604,DPOGS216189,DPOGS216191,DPOGS216196,DPOGS216187,DPOGS216205,DPOGS216210,DPOGS216200,DPOGS214474,DPOGS214476,DPOGS214502,DPOGS214501,DPOGS214488,DPOGS214494,DPOGS214481,DPOGS214485,DPOGS214490,DPOGS212004,DPOGS212008,DPOGS213640,DPOGS213654,DPOGS213638,DPOGS213633,DPOGS213635,DPOGS213649,DPOGS213645,DPOGS213916,DPOGS213911,DPOGS213923,DPOGS215438,DPOGS215442,DPOGS215447,DPOGS215446,DPOGS215436,DPOGS215444,DPOGS208167,DPOGS208166 
DPOGS213841 	DPOGS205278,DPOGS205280,DPOGS205285,DPOGS205286,DPOGS205303,DPOGS205300,DPOGS205304,DPOGS205290,DPOGS205267,DPOGS205273,DPOGS205287,DPOGS205275,DPOGS205268,DPOGS205276,DPOGS205299,DPOGS205274,DPOGS203152,DPOGS203183,DPOGS203196,DPOGS203207,DPOGS203191,DPOGS203135,DPOGS203149,DPOGS203197,DPOGS203188,DPOGS203189,DPOGS203216,DPOGS203217,DPOGS203233,DPOGS203221,DPOGS203219,DPOGS203226,DPOGS203153,DPOGS203203,DPOGS203222,DPOGS203136,DPOGS203170,DPOGS203206,DPOGS203178,DPOGS203199,DPOGS203168,DPOGS203167,DPOGS203205,DPOGS203181,DPOGS203165,DPOGS203211,DPOGS203228,DPOGS203208,DPOGS203137,DPOGS203210,DPOGS209134,DPOGS209174,DPOGS209167,DPOGS209181,DPOGS209136,DPOGS209163,DPOGS209132,DPOGS209193,DPOGS209133,DPOGS209151,DPOGS209147,DPOGS209168,DPOGS209161,DPOGS209210,DPOGS209146,DPOGS209145,DPOGS209159,DPOGS209164,DPOGS209130,DPOGS209186,DPOGS209185,DPOGS209157,DPOGS209129,DPOGS209194,DPOGS209203,DPOGS209177,DPOGS209192,DPOGS209202,DPOGS209152,DPOGS209128,DPOGS209172,DPOGS209200,DPOGS209154,DPOGS209153,DPOGS209131,DPOGS209195,DPOGS209148,DPOGS209212,DPOGS212262,DPOGS212295,DPOGS212260,DPOGS212273,DPOGS212252,DPOGS212289,DPOGS212258,DPOGS212259,DPOGS212253,DPOGS212282,DPOGS212288,DPOGS212278,DPOGS212256,DPOGS212287,DPOGS212283,DPOGS209951,DPOGS209979,DPOGS209959,DPOGS209950,DPOGS209976,DPOGS209968,DPOGS209983,DPOGS209982,DPOGS209946,DPOGS209945,DPOGS209942,DPOGS209952,DPOGS209963,DPOGS209957,DPOGS209977,DPOGS209941,DPOGS209947,DPOGS209985,DPOGS209978,DPOGS209966,DPOGS209984,DPOGS209955,DPOGS209986,DPOGS209975,DPOGS209973,DPOGS209980,DPOGS209956,DPOGS213840,DPOGS213829,DPOGS213842,DPOGS213826,DPOGS213827,DPOGS213832,DPOGS213844,DPOGS213831,DPOGS209226,DPOGS209221,DPOGS209220,DPOGS209228,DPOGS209230,DPOGS214516,DPOGS214521,DPOGS214520,DPOGS214515,DPOGS214514,DPOGS214522,DPOGS214513,DPOGS214538,DPOGS209704,DPOGS209693,DPOGS209702,DPOGS209692,DPOGS209698,DPOGS202592,DPOGS202595,DPOGS202587,DPOGS200972,DPOGS200973,DPOGS211039,DPOGS211038,DPOGS209240,DPOGS209235,DPOGS209917 
DPOGS213997 	DPOGS205891,DPOGS205892,DPOGS205897,DPOGS205898,DPOGS205899,DPOGS205900,DPOGS205908,DPOGS205911,DPOGS205906,DPOGS205902,DPOGS205905,DPOGS205893,DPOGS202080,DPOGS202083,DPOGS202089,DPOGS200395,DPOGS200396,DPOGS200398,DPOGS214903,DPOGS211675,DPOGS211679,DPOGS211680,DPOGS211681,DPOGS211661,DPOGS214882,DPOGS214884,DPOGS214886,DPOGS214887,DPOGS214888,DPOGS214885,DPOGS202947,DPOGS202948,DPOGS202942,DPOGS202949,DPOGS202941,DPOGS202956,DPOGS202950,DPOGS202964,DPOGS202962,DPOGS204791,DPOGS204793,DPOGS204794,DPOGS204788,DPOGS204787,DPOGS204785,DPOGS204783,DPOGS204742,DPOGS204748,DPOGS204752,DPOGS204755,DPOGS204757,DPOGS204759,DPOGS204760,DPOGS204764,DPOGS204766,DPOGS204767,DPOGS204768,DPOGS204774,DPOGS204735,DPOGS204782,DPOGS205966,DPOGS205683,DPOGS205684,DPOGS205695,DPOGS205697,DPOGS205690,DPOGS205701,DPOGS205704,DPOGS205705,DPOGS205706,DPOGS205711,DPOGS205699,DPOGS205698,DPOGS205703,DPOGS205717,DPOGS205713,DPOGS205718,DPOGS205723,DPOGS205721,DPOGS203080,DPOGS203083,DPOGS203084,DPOGS212460,DPOGS212459,DPOGS204640,DPOGS204627,DPOGS204637,DPOGS204636,DPOGS205336,DPOGS205338,DPOGS205341,DPOGS203075,DPOGS203077,DPOGS203069,DPOGS203068,DPOGS203072,DPOGS201274,DPOGS204549,DPOGS204550,DPOGS204538,DPOGS204543,DPOGS204546,DPOGS204537,DPOGS204548,DPOGS204541,DPOGS204536,DPOGS204558,DPOGS204524,DPOGS204527,DPOGS204528,DPOGS210764,DPOGS210765,DPOGS210772,DPOGS214006,DPOGS214014,DPOGS214013,DPOGS214012,DPOGS214010,DPOGS200770,DPOGS200766,DPOGS200762,DPOGS200769,DPOGS202477,DPOGS202479,DPOGS202482,DPOGS213049,DPOGS212885,DPOGS209293,DPOGS209289,DPOGS209290,DPOGS209286,DPOGS209295,DPOGS209291,DPOGS209285,DPOGS206508,DPOGS206509,DPOGS206510,DPOGS206512,DPOGS206496,DPOGS206495,DPOGS216213,DPOGS210019,DPOGS210025,DPOGS210024,DPOGS210023,DPOGS210026,DPOGS211689,DPOGS211691,DPOGS211695,DPOGS214828,DPOGS214832,DPOGS214833,DPOGS207906,DPOGS207900,DPOGS207905,DPOGS210164,DPOGS210155,DPOGS213996,DPOGS213999,DPOGS208420,DPOGS208422,DPOGS208424,DPOGS203058,DPOGS203065,DPOGS203057,DPOGS203062,DPOGS203063,DPOGS203061,DPOGS203866,DPOGS203871,DPOGS203466,DPOGS203468,DPOGS203469,DPOGS203465,DPOGS203463,DPOGS211267,DPOGS211269,DPOGS211266,DPOGS211271,DPOGS211273,DPOGS211275,DPOGS204561,DPOGS205257,DPOGS206167,DPOGS215431,DPOGS205018,DPOGS214512,DPOGS212986,DPOGS212985,DPOGS205596,DPOGS205594,DPOGS200884,DPOGS200885,DPOGS203473,DPOGS203474,DPOGS207318,DPOGS207319,DPOGS212191,DPOGS213739,DPOGS202747,DPOGS202745,DPOGS200001,DPOGS214893,DPOGS202133,DPOGS209115,DPOGS209116,DPOGS209117,DPOGS214442,DPOGS214444,DPOGS213967,DPOGS213963,DPOGS213962,DPOGS213969,DPOGS201272,DPOGS214684,DPOGS205425,DPOGS205428,DPOGS209865,DPOGS211751,DPOGS211749,DPOGS201767,DPOGS202391,DPOGS202393,DPOGS213314,DPOGS206165,DPOGS211060,DPOGS211062,DPOGS200219,DPOGS215450,DPOGS203889,DPOGS200472,DPOGS200474,DPOGS200036,DPOGS200037,DPOGS200040,DPOGS214022,DPOGS212306,DPOGS212307,DPOGS212308,DPOGS210293,DPOGS204093,DPOGS210406,DPOGS211735,DPOGS209938,DPOGS213713,DPOGS201636,DPOGS201635,DPOGS211747,DPOGS201632,DPOGS200043,DPOGS214923,DPOGS214925,DPOGS200879,DPOGS213162,DPOGS211755,DPOGS211754,DPOGS211753,DPOGS202435,DPOGS209275,DPOGS209276,DPOGS212215,DPOGS209100,DPOGS206525,DPOGS200519,DPOGS204211,DPOGS205254,DPOGS208633,DPOGS210639,DPOGS208630,DPOGS201215,DPOGS211983,DPOGS213850,DPOGS210781,DPOGS215125,DPOGS211682,DPOGS212788,DPOGS209852,DPOGS204596,DPOGS212903,DPOGS203424,DPOGS213300,DPOGS211746,DPOGS214445,DPOGS200386,DPOGS212798,DPOGS205752,DPOGS200126,DPOGS213278,DPOGS213279,DPOGS203425,DPOGS212893,DPOGS215605,DPOGS201769,DPOGS205335,DPOGS208306,DPOGS215852,DPOGS206240,DPOGS206367,DPOGS214023,DPOGS202549,DPOGS202550,DPOGS213890,DPOGS213454,DPOGS212640,DPOGS208763,DPOGS209435,DPOGS211998,DPOGS212246,DPOGS212247,DPOGS212248,DPOGS209564,DPOGS204592,DPOGS201128,DPOGS213716,DPOGS207240,DPOGS210536,DPOGS202545,DPOGS209912,DPOGS209434,DPOGS209217,DPOGS205886,DPOGS202489,DPOGS202541,DPOGS205250,DPOGS210389,DPOGS200045,DPOGS212639,DPOGS202389,DPOGS202345,DPOGS200693,DPOGS212982,DPOGS203873,DPOGS212889,DPOGS204967,DPOGS211752,DPOGS201217,DPOGS205922,DPOGS213851,DPOGS204563,DPOGS203999,DPOGS212214,DPOGS216090,DPOGS200880,DPOGS210154,DPOGS211740,DPOGS205256,DPOGS210563,DPOGS203433,DPOGS210290,DPOGS212786,DPOGS210131,DPOGS203886,DPOGS201268,DPOGS208089,DPOGS204863,DPOGS200229,DPOGS203896,DPOGS216152,DPOGS207368,DPOGS203462,DPOGS211247,DPOGS207999,DPOGS213741,DPOGS202238,DPOGS214296,DPOGS209663,DPOGS205252,DPOGS214680,DPOGS214970,DPOGS209651,DPOGS213894,DPOGS200964,DPOGS212298,DPOGS201768,DPOGS204011,DPOGS202346,DPOGS200667,DPOGS214004,DPOGS214510,DPOGS213995,DPOGS213499,DPOGS204012,DPOGS213406,DPOGS210782,DPOGS215368,DPOGS209653,DPOGS209296,DPOGS214003,DPOGS201099,DPOGS210638,DPOGS210207,DPOGS201629,DPOGS210170,DPOGS205424,DPOGS210206,DPOGS200129,DPOGS211265,DPOGS205775,DPOGS213405,DPOGS208063,DPOGS213312,DPOGS208628,DPOGS204210,DPOGS209022,DPOGS209937,DPOGS215163,DPOGS214462,DPOGS214683,DPOGS208135,DPOGS212655,DPOGS204143,DPOGS206244,DPOGS200815,DPOGS208108,DPOGS212883,DPOGS200663,DPOGS201218,DPOGS207320,DPOGS202184,DPOGS208305,DPOGS204009,DPOGS210637,DPOGS204610,DPOGS214441,DPOGS201214,DPOGS204321,DPOGS204651,DPOGS205251,DPOGS200012,DPOGS214821,DPOGS207498,DPOGS200053,DPOGS200059,DPOGS200061,DPOGS200064,DPOGS200065,DPOGS200070,DPOGS200073,DPOGS200076,DPOGS200106,DPOGS200107,DPOGS200109,DPOGS200110,DPOGS200112,DPOGS200113,DPOGS200118,DPOGS200121,DPOGS200124,DPOGS206019,DPOGS206020,DPOGS206162 
DPOGS214325 	DPOGS214334,DPOGS214388,DPOGS214369,DPOGS214355,DPOGS214313,DPOGS214304,DPOGS214306,DPOGS214356,DPOGS214319,DPOGS214315,DPOGS214299,DPOGS214302,DPOGS214370,DPOGS214341,DPOGS214314,DPOGS214350,DPOGS214340,DPOGS214342,DPOGS214301 
DPOGS214397 	DPOGS214430,DPOGS214432,DPOGS214412,DPOGS214394,DPOGS214416,DPOGS214428,DPOGS214401,DPOGS214436,DPOGS214406,DPOGS214402,DPOGS214408,DPOGS214423,DPOGS214415,DPOGS214422,DPOGS214426,DPOGS214434 
DPOGS214451 	DPOGS215117,DPOGS215102,DPOGS215116,DPOGS215118,DPOGS215115,DPOGS215096,DPOGS215106,DPOGS201613,DPOGS201588,DPOGS201614,DPOGS201591,DPOGS201604,DPOGS201596,DPOGS201594,DPOGS201606,DPOGS201586,DPOGS201612,DPOGS201609,DPOGS201590,DPOGS201580,DPOGS201603,DPOGS201584,DPOGS201599,DPOGS214978,DPOGS214974,DPOGS214989,DPOGS214991,DPOGS214995,DPOGS214993,DPOGS215006,DPOGS215003,DPOGS214986,DPOGS215011,DPOGS215018,DPOGS214973,DPOGS215009,DPOGS215021,DPOGS215012,DPOGS215017,DPOGS215031,DPOGS215029,DPOGS214988,DPOGS215020,DPOGS214983,DPOGS215019,DPOGS215016,DPOGS215015,DPOGS215000,DPOGS215025,DPOGS215024,DPOGS215010,DPOGS215022,DPOGS214996,DPOGS214979,DPOGS215023,DPOGS214987,DPOGS205203,DPOGS205239,DPOGS205202,DPOGS205233,DPOGS205205,DPOGS205237,DPOGS205241,DPOGS205240,DPOGS205214,DPOGS205220,DPOGS205196,DPOGS205200,DPOGS205234,DPOGS205223,DPOGS205217,DPOGS205245,DPOGS205246,DPOGS205199,DPOGS205235,DPOGS205247,DPOGS205225,DPOGS205193,DPOGS205243,DPOGS205191,DPOGS205190,DPOGS205209,DPOGS205192,DPOGS215363,DPOGS215366,DPOGS215356,DPOGS215362,DPOGS215361,DPOGS215358,DPOGS211523,DPOGS211513,DPOGS211510,DPOGS211508,DPOGS211495,DPOGS211497,DPOGS211530,DPOGS211494,DPOGS211503,DPOGS211528,DPOGS211505,DPOGS211504,DPOGS211519,DPOGS211521,DPOGS211506,DPOGS211502,DPOGS205381,DPOGS205372,DPOGS205371,DPOGS203876,DPOGS203881,DPOGS203880,DPOGS203878,DPOGS204615,DPOGS204617,DPOGS204622,DPOGS204623,DPOGS204621,DPOGS214446,DPOGS214461,DPOGS214453,DPOGS214460,DPOGS214455,DPOGS214450,DPOGS214447,DPOGS214457,DPOGS214448,DPOGS214449,DPOGS211057,DPOGS204562 
DPOGS214570 	DPOGS214579,DPOGS214591,DPOGS214606,DPOGS214617,DPOGS214595,DPOGS214587,DPOGS214618,DPOGS214590,DPOGS214619,DPOGS214576,DPOGS214631,DPOGS214634,DPOGS214596,DPOGS214585,DPOGS214625,DPOGS214616,DPOGS214629,DPOGS214644,DPOGS214648,DPOGS214649,DPOGS214568,DPOGS214626,DPOGS214615,DPOGS214628,DPOGS214583,DPOGS214584,DPOGS214638,DPOGS214627,DPOGS214572,DPOGS214641,DPOGS214642,DPOGS214575,DPOGS214597,DPOGS214639,DPOGS214610,DPOGS214622,DPOGS214581,DPOGS214635 
DPOGS214573 	DPOGS214579,DPOGS214594,DPOGS214591,DPOGS214617,DPOGS214595,DPOGS214587,DPOGS214604,DPOGS214618,DPOGS214590,DPOGS214609,DPOGS214650,DPOGS214576,DPOGS214630,DPOGS214634,DPOGS214596,DPOGS214625,DPOGS214616,DPOGS214629,DPOGS214644,DPOGS214645,DPOGS214648,DPOGS214649,DPOGS214571,DPOGS214626,DPOGS214628,DPOGS214583,DPOGS214627,DPOGS214572,DPOGS214641,DPOGS214642,DPOGS214575,DPOGS214597,DPOGS214610,DPOGS214581,DPOGS214598,DPOGS214635 
DPOGS214647 	DPOGS214579,DPOGS214591,DPOGS214606,DPOGS214617,DPOGS214595,DPOGS214587,DPOGS214618,DPOGS214590,DPOGS214576,DPOGS214630,DPOGS214634,DPOGS214596,DPOGS214585,DPOGS214625,DPOGS214616,DPOGS214629,DPOGS214644,DPOGS214648,DPOGS214649,DPOGS214568,DPOGS214571,DPOGS214626,DPOGS214615,DPOGS214628,DPOGS214583,DPOGS214584,DPOGS214627,DPOGS214572,DPOGS214641,DPOGS214642,DPOGS214575,DPOGS214597,DPOGS214639,DPOGS214610,DPOGS214622,DPOGS214581,DPOGS214635 
DPOGS215098 	DPOGS215109,DPOGS215095,DPOGS215110,DPOGS201589,DPOGS201600,DPOGS201595,DPOGS201597,DPOGS201618,DPOGS201582,DPOGS201605,DPOGS215007,DPOGS215001,DPOGS205222,DPOGS205208,DPOGS205244,DPOGS205219,DPOGS205232,DPOGS215354,DPOGS215355,DPOGS211496,DPOGS211515,DPOGS211520,DPOGS211500,DPOGS205377,DPOGS205379,DPOGS203882,DPOGS203885,DPOGS204613,DPOGS211056,DPOGS211055 
DPOGS215180 	DPOGS215186,DPOGS215176,DPOGS215187,DPOGS215167,DPOGS215184,DPOGS215203,DPOGS215201,DPOGS215209,DPOGS215206,DPOGS215199,DPOGS215173,DPOGS215221,DPOGS215210,DPOGS215226,DPOGS215230,DPOGS215223,DPOGS215171,DPOGS215202,DPOGS215217,DPOGS215237 
DPOGS215181 	DPOGS215186,DPOGS215176,DPOGS215187,DPOGS215167,DPOGS215184,DPOGS215203,DPOGS215201,DPOGS215209,DPOGS215206,DPOGS215199,DPOGS215173,DPOGS215221,DPOGS215210,DPOGS215226,DPOGS215230,DPOGS215223,DPOGS215171,DPOGS215202,DPOGS215217,DPOGS215237 
DPOGS215182 	DPOGS215186,DPOGS215176,DPOGS215187,DPOGS215184,DPOGS215203,DPOGS215205,DPOGS215201,DPOGS215209,DPOGS215206,DPOGS215199,DPOGS215173,DPOGS215221,DPOGS215210,DPOGS215226,DPOGS215229,DPOGS215230,DPOGS215223,DPOGS215202,DPOGS215217,DPOGS215190,DPOGS215237 
DPOGS215183 	DPOGS215176,DPOGS215187,DPOGS215167,DPOGS215184,DPOGS215203,DPOGS215201,DPOGS215206,DPOGS215199,DPOGS215173,DPOGS215221,DPOGS215210,DPOGS215226,DPOGS215230,DPOGS215223,DPOGS215171,DPOGS215217,DPOGS215237 
DPOGS215188 	DPOGS215186,DPOGS215175,DPOGS215174,DPOGS215192,DPOGS215200,DPOGS215169,DPOGS215203,DPOGS215205,DPOGS215208,DPOGS215209,DPOGS215173,DPOGS215218,DPOGS215219,DPOGS215210,DPOGS215229,DPOGS215230,DPOGS215231,DPOGS215224,DPOGS215195,DPOGS215212,DPOGS215202,DPOGS215217,DPOGS215189,DPOGS215190,DPOGS215225,DPOGS215194 
DPOGS215220 	DPOGS215186,DPOGS215175,DPOGS215174,DPOGS215192,DPOGS215200,DPOGS215169,DPOGS215203,DPOGS215205,DPOGS215208,DPOGS215209,DPOGS215216,DPOGS215218,DPOGS215219,DPOGS215210,DPOGS215229,DPOGS215231,DPOGS215224,DPOGS215195,DPOGS215212,DPOGS215202,DPOGS215189,DPOGS215190,DPOGS215225,DPOGS215194 
DPOGS215274 	DPOGS215242,DPOGS215269,DPOGS215273,DPOGS215272,DPOGS215282,DPOGS215265,DPOGS215254,DPOGS215257,DPOGS215245,DPOGS215280,DPOGS215239,DPOGS215238,DPOGS215258,DPOGS215275 
DPOGS215451 	DPOGS205891,DPOGS205892,DPOGS205897,DPOGS205898,DPOGS205899,DPOGS205900,DPOGS205908,DPOGS205911,DPOGS205906,DPOGS205902,DPOGS205905,DPOGS205893,DPOGS202080,DPOGS202083,DPOGS202089,DPOGS200395,DPOGS200396,DPOGS200398,DPOGS214903,DPOGS211675,DPOGS211679,DPOGS211680,DPOGS211681,DPOGS211661,DPOGS214882,DPOGS214884,DPOGS214886,DPOGS214887,DPOGS214888,DPOGS214885,DPOGS202947,DPOGS202948,DPOGS202942,DPOGS202949,DPOGS202941,DPOGS202956,DPOGS202950,DPOGS202964,DPOGS202962,DPOGS204791,DPOGS204794,DPOGS204788,DPOGS204787,DPOGS204785,DPOGS204783,DPOGS204742,DPOGS204748,DPOGS204752,DPOGS204755,DPOGS204757,DPOGS204759,DPOGS204760,DPOGS204764,DPOGS204766,DPOGS204767,DPOGS204768,DPOGS204774,DPOGS204735,DPOGS205966,DPOGS205683,DPOGS205684,DPOGS205695,DPOGS205697,DPOGS205690,DPOGS205701,DPOGS205704,DPOGS205705,DPOGS205706,DPOGS205711,DPOGS205699,DPOGS205698,DPOGS205703,DPOGS205717,DPOGS205713,DPOGS205718,DPOGS205723,DPOGS205721,DPOGS203080,DPOGS203083,DPOGS203084,DPOGS212460,DPOGS212459,DPOGS204640,DPOGS204627,DPOGS204637,DPOGS205336,DPOGS205341,DPOGS203075,DPOGS203077,DPOGS203069,DPOGS203068,DPOGS203072,DPOGS201274,DPOGS204549,DPOGS204550,DPOGS204538,DPOGS204543,DPOGS204546,DPOGS204537,DPOGS204548,DPOGS204541,DPOGS204558,DPOGS204524,DPOGS204527,DPOGS204528,DPOGS210764,DPOGS210765,DPOGS210772,DPOGS214006,DPOGS214014,DPOGS214013,DPOGS214012,DPOGS214010,DPOGS200770,DPOGS200766,DPOGS200762,DPOGS200769,DPOGS202477,DPOGS202479,DPOGS202482,DPOGS213049,DPOGS212885,DPOGS209293,DPOGS209289,DPOGS209290,DPOGS209286,DPOGS209295,DPOGS209291,DPOGS209285,DPOGS206508,DPOGS206509,DPOGS206510,DPOGS206512,DPOGS206496,DPOGS206495,DPOGS216213,DPOGS210019,DPOGS210025,DPOGS210024,DPOGS210023,DPOGS210026,DPOGS211689,DPOGS211691,DPOGS211695,DPOGS214828,DPOGS214832,DPOGS214833,DPOGS207906,DPOGS207900,DPOGS207905,DPOGS210164,DPOGS210155,DPOGS213996,DPOGS213999,DPOGS208420,DPOGS208422,DPOGS208424,DPOGS203058,DPOGS203065,DPOGS203057,DPOGS203062,DPOGS203063,DPOGS203061,DPOGS203866,DPOGS203871,DPOGS203466,DPOGS203468,DPOGS203469,DPOGS203465,DPOGS203463,DPOGS211267,DPOGS211269,DPOGS211271,DPOGS211273,DPOGS211275,DPOGS204561,DPOGS205257,DPOGS206167,DPOGS215431,DPOGS205018,DPOGS214512,DPOGS212986,DPOGS212985,DPOGS205596,DPOGS205594,DPOGS200884,DPOGS200885,DPOGS203473,DPOGS203474,DPOGS207318,DPOGS207319,DPOGS212191,DPOGS213739,DPOGS202747,DPOGS202745,DPOGS200001,DPOGS214893,DPOGS202133,DPOGS209115,DPOGS209116,DPOGS209117,DPOGS214442,DPOGS214444,DPOGS213967,DPOGS213963,DPOGS213962,DPOGS213969,DPOGS201272,DPOGS214684,DPOGS205425,DPOGS205428,DPOGS209865,DPOGS211751,DPOGS211749,DPOGS201767,DPOGS202391,DPOGS202393,DPOGS213314,DPOGS206165,DPOGS211060,DPOGS211062,DPOGS200219,DPOGS215450,DPOGS203889,DPOGS200472,DPOGS200474,DPOGS200036,DPOGS200037,DPOGS200040,DPOGS214022,DPOGS212306,DPOGS212307,DPOGS212308,DPOGS210293,DPOGS204093,DPOGS210406,DPOGS211735,DPOGS209938,DPOGS213713,DPOGS201636,DPOGS201635,DPOGS211747,DPOGS201632,DPOGS200043,DPOGS214923,DPOGS214925,DPOGS200879,DPOGS213162,DPOGS211755,DPOGS211754,DPOGS211753,DPOGS202435,DPOGS209275,DPOGS209276,DPOGS212215,DPOGS209100,DPOGS206525,DPOGS200519,DPOGS204211,DPOGS205254,DPOGS208633,DPOGS210639,DPOGS208630,DPOGS201215,DPOGS211983,DPOGS213850,DPOGS210781,DPOGS215125,DPOGS211682,DPOGS212788,DPOGS209852,DPOGS204596,DPOGS212903,DPOGS203424,DPOGS211746,DPOGS214445,DPOGS200386,DPOGS212798,DPOGS205752,DPOGS200126,DPOGS213278,DPOGS213279,DPOGS203425,DPOGS212893,DPOGS215605,DPOGS201769,DPOGS205335,DPOGS208306,DPOGS215852,DPOGS206240,DPOGS206367,DPOGS214023,DPOGS202549,DPOGS202550,DPOGS213890,DPOGS213454,DPOGS212640,DPOGS208763,DPOGS209435,DPOGS212246,DPOGS212247,DPOGS212248,DPOGS209564,DPOGS204592,DPOGS201128,DPOGS213716,DPOGS207240,DPOGS210536,DPOGS202545,DPOGS209912,DPOGS209434,DPOGS209217,DPOGS205886,DPOGS202489,DPOGS202541,DPOGS205250,DPOGS210389,DPOGS200045,DPOGS212639,DPOGS202389,DPOGS202345,DPOGS200693,DPOGS212982,DPOGS203873,DPOGS212889,DPOGS204967,DPOGS211752,DPOGS201217,DPOGS205922,DPOGS213851,DPOGS204563,DPOGS203999,DPOGS212214,DPOGS216090,DPOGS200880,DPOGS210154,DPOGS211740,DPOGS205256,DPOGS210563,DPOGS203433,DPOGS210290,DPOGS212786,DPOGS210131,DPOGS203886,DPOGS201268,DPOGS208089,DPOGS204863,DPOGS200229,DPOGS203896,DPOGS216152,DPOGS207368,DPOGS203462,DPOGS211247,DPOGS207999,DPOGS213741,DPOGS202238,DPOGS214296,DPOGS209663,DPOGS205252,DPOGS214680,DPOGS214970,DPOGS209651,DPOGS213894,DPOGS200964,DPOGS212298,DPOGS201768,DPOGS204011,DPOGS202346,DPOGS200667,DPOGS214004,DPOGS214510,DPOGS213995,DPOGS213499,DPOGS204012,DPOGS213406,DPOGS210782,DPOGS215368,DPOGS209653,DPOGS209296,DPOGS214003,DPOGS201099,DPOGS210638,DPOGS210207,DPOGS201629,DPOGS210170,DPOGS205424,DPOGS210206,DPOGS200129,DPOGS211265,DPOGS205775,DPOGS213405,DPOGS208063,DPOGS213312,DPOGS208628,DPOGS204210,DPOGS209022,DPOGS209937,DPOGS215163,DPOGS214462,DPOGS214683,DPOGS208135,DPOGS212655,DPOGS204143,DPOGS206244,DPOGS200815,DPOGS208108,DPOGS212883,DPOGS200663,DPOGS201218,DPOGS207320,DPOGS202184,DPOGS208305,DPOGS204009,DPOGS210637,DPOGS204610,DPOGS214441,DPOGS201214,DPOGS204321,DPOGS204651,DPOGS205251,DPOGS200012,DPOGS214821,DPOGS207498,DPOGS200053,DPOGS200059,DPOGS200061,DPOGS200064,DPOGS200065,DPOGS200070,DPOGS200073,DPOGS200076,DPOGS200106,DPOGS200107,DPOGS200109,DPOGS200110,DPOGS200112,DPOGS200113,DPOGS200118,DPOGS200121,DPOGS200124,DPOGS206019,DPOGS206020,DPOGS206162 
DPOGS215599 	DPOGS215570,DPOGS215569,DPOGS215571,DPOGS215579,DPOGS215583,DPOGS215586,DPOGS215592,DPOGS215593,DPOGS215582,DPOGS215601,DPOGS215562,DPOGS215564,DPOGS215595,DPOGS215588,DPOGS215590 
