"Gene_ID","Pi_gene_0d","Td_gene_0d","Tw_gene_0d","Pi_gene_4d","Td_gene_4d","Tw_gene_4d","Pi_gene_full","Td_gene_full","Tw_gene_full","DOS_east","W_Danaus_plexippus_East","East_Pin_Pis_Monarch","alpha_East","W_alpha_East","Gene_Type","Gene_function"
"DPOGS214558",0.011086932,-1.081856452,0.015888126,0.004576005,1.557381317,0.002315074,0.008209771,-0.760746387,0.01038664,0.058381345,0.152840397,0.080142109,0.475648384,0.072698288,"Paired_control","Modulation"
"DPOGS214560",0.001710732,-1.421124677,0.002929026,0.011896647,-1.333880972,0.018918271,0.004206634,-1.348410503,0.00652104,-0.017583781,0.042038886,0.061488523,-0.462658243,-0.019449637,"Paired_control","Modulation"
"DPOGS214553",0.001734661,-1.612922252,0.003381226,0.006073784,-0.704903561,0.007744397,0.002894645,-1.36177273,0.004617238,0.017954985,0.056583818,0.036912604,0.347647339,0.019671214,"Paired_control","Modulation"
"DPOGS214561",0.003600658,-1.015197288,0.005004721,0.009928508,-0.459697823,0.011472017,0.004250456,-0.986122935,0.005753131,0.052419355,0.055319149,0,1,0.055319149,"Paired_control","Modulation"
"DPOGS214550",0.004974933,-0.81995599,0.006388836,0.010981535,-1.346383901,0.017306357,0.007011198,-1.327950827,0.010673963,0.068594984,0.0801656,0.005652819,0.929485731,0.074512782,"Paired_control","Modulation"
"DPOGS214563",0.003460412,-1.479191088,0.005736008,0.003136651,-1.859731873,0.007047788,0.003372289,-1.57280958,0.005730817,0.014235822,0.071466384,0.055368631,0.225249308,0.016097754,"Paired_control","Modulation"
"DPOGS214547",0.00458411,0.313559463,0.004161509,0.003790812,-1.732779705,0.009401458,0.003516583,-1.097391931,0.005128068,0.014784696,0.102040816,0.084372764,0.173146913,0.017668052,"Paired_control","Modulation"
"DPOGS214564",0,NA,0,0,NA,0,0.000590624,-0.018647381,0.000597612,-0.793635938,0.260023585,0,1,0.260023585,"Paired_control","Modulation"
"DPOGS214565",0.002235779,0.359970415,0.001965378,0.008147381,-1.399009171,0.014896996,0.002901423,-1.283575506,0.004624939,0.030770718,0.14939759,0.110134585,0.262808829,0.039263006,"Paired_control","Modulation"
"DPOGS214546",8.36e-05,-0.740993868,0.00015612,0.000140056,-1.151418009,0.000503869,6.93e-05,-1.241374607,0.000170407,-0.891521854,0.121677496,0,1,0.121677496,"Paired_control","Modulation"
"DPOGS214544",0.00475596,-1.862662884,0.014436695,0.012169312,0.293274965,0.010278927,0.005256196,-1.670107842,0.011834291,0.311648817,1.192934783,0.302662187,0.746287734,0.890272596,"Paired_control","Modulation"
"DPOGS201726",0.006248142,-0.952135968,0.008662017,0.007348618,-0.54703505,0.009517525,0.006435006,-0.818988443,0.008334265,0.024069808,0.06826742,0.041487656,0.39227737,0.026779764,"Paired_control","Modulation"
